Name,NIII 57,NIII 57 err,OI 63,OI 63 err,OIII 88,OIII err,NII 122,NII 122 err,OI 145,OI 145 err,CII 158,CII 158 err,S63,S63err,S122,S122err,FIR,L_{CO},L_{CO}(log),NIII57/FIR,OI63/FIR,OIII88/FIR,NII122/FIR,OI145/FIR,CII158/FIR,Optical_class,Redshift,DL[Mpc],Brightness (log),Luminosity(log)
M82Center,3.51E-14,1.10E-15,1.51E-13,5.20E-15,8.31E-14,2.60E-15,2.05E-14,1.20E-16,1.38E-14,1.20E-16,1.43E-13,1.00E-15,1570,94.2,1350,81,69281.562,7.47E+08,8.87E+00,5.07E-03,2.18E-02,1.20E-02,2.96E-03,1.99E-03,2.06E-02,HII,0.00067,3.83,0,10.67
M82S_outflow,NaN,NaN,NaN,NaN,NaN,NaN,1.67E-15,1.20E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.00E+00,-9.00E+00,NaN,NaN,NaN,NaN,NaN,NaN,HII,0.00067,3.83,0,10.67
M82N_outflow,NaN,NaN,NaN,NaN,NaN,NaN,1.07E-15,2.10E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.00E+00,-9.00E+00,NaN,NaN,NaN,NaN,NaN,NaN,HII,0.00067,3.83,0,10.67
M83_Center,1.90E-15,1.20E-16,9.85E-15,5.60E-17,2.45E-15,5.00E-17,3.35E-15,2.20E-17,7.30E-16,2.70E-17,1.72E-14,2.40E-16,127.33,7.6398,156.24,9.3744,5991.951378,-9,-9.00E+00,3.17E-03,1.64E-02,4.09E-03,5.59E-03,1.22E-03,2.87E-02,HII,0.00171,7.24,0,10.13
M83_Bar-spiral_arm,6.15E-16,5.00E-17,2.73E-15,6.10E-17,NaN,NaN,1.29E-15,1.50E-17,NaN,NaN,9.26E-15,1.20E-16,21.92,1.3152,50.02,3.0012,1216.043472,-9,-9.00E+00,5.06E-03,2.24E-02,NaN,1.06E-02,NaN,7.61E-02,HII,0.00171,7.24,0,10.13
M83_Eastern_arm,1.15E-16,1.50E-17,7.14E-16,2.20E-17,NaN,NaN,2.84E-16,7.50E-18,NaN,NaN,2.64E-15,7.70E-17,4.85,0.291,15.38,0.9228,303.47541,-9,-9.00E+00,3.79E-03,2.35E-02,NaN,9.36E-03,NaN,8.70E-02,HII,0.00171,7.24,0,10.13
NGC253,5.43E-15,1.40E-16,3.38E-14,4.40E-16,7.55E-15,1.40E-16,8.28E-15,7.10E-17,3.96E-15,1.40E-16,4.56E-14,1.90E-16,1001,60.06,1212,72.72,46975.6266,7.45E+08,8.87E+00,1.16E-03,7.20E-03,1.61E-03,1.76E-03,8.43E-04,9.71E-03,HII,0.00081,3.42,12.15,10.35
NGC1808,1.15E-15,6.00E-17,9.61E-15,2.20E-16,2.39E-15,8.20E-17,2.88E-15,1.50E-17,6.38E-16,2.20E-17,1.67E-14,1.20E-16,127.05,7.623,144.2,8.652,5885.43753,8.78E+08,8.94E+00,1.95E-03,1.63E-02,4.06E-03,4.89E-03,1.08E-03,2.84E-02,HII,0.00331,14.02,10.63,10.51
NGC3256,1.57E-15,1.30E-16,9.43E-15,9.50E-17,4.37E-15,5.90E-17,1.21E-15,1.40E-17,8.44E-16,2.00E-17,1.79E-14,7.80E-17,99.84,5.9904,148.83,8.9298,4908.360744,9.38E+09,9.97E+00,3.20E-03,1.92E-02,8.90E-03,2.47E-03,1.72E-03,3.65E-02,HII,0.00935,39.8,10.79,11.62
Arp299,1.76E-15,7.10E-17,6.70E-15,1.10E-16,6.79E-15,8.70E-17,6.18E-16,1.80E-17,7.98E-16,9.70E-18,1.24E-14,7.20E-17,91.84,5.5104,113.83,6.8298,4330.927944,3.30E+09,9.52E+00,4.06E-03,1.55E-02,1.57E-02,1.43E-03,1.84E-03,2.86E-02,HII,0.00536,22.74,10.9,10.79
