;Name,NIII57,NIII57err,OI63,OI63err,OIII88,OIIIerr,NII122,NII122err,OI145,OI145err,CIII158,CII158err,S63,S63err,S122,S122err
M82Center,3.51E-14,1.10E-15,1.51E-13,5.20E-15,8.31E-14,2.60E-15,2.05E-14,1.20E-16,1.38E-14,1.20E-16,1.43E-13,1.00E-15,1570,94.2,1350,81
M82S_outflow,NaN,NaN,NaN,NaN,NaN,NaN,1.67E-15,1.20E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M82N_outflow,NaN,NaN,NaN,NaN,NaN,NaN,1.07E-15,2.10E-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M83_Center,1.90E-15,1.20E-16,9.85E-15,5.60E-17,2.45E-15,5.00E-17,3.35E-15,2.20E-17,7.30E-16,2.70E-17,1.72E-14,2.40E-16,127.33,7.6398,156.24,9.3744
M83_Bar-spiral_arm,6.15E-16,5.00E-17,2.73E-15,6.10E-17,NaN,NaN,1.29E-15,1.50E-17,NaN,NaN,9.26E-15,1.20E-16,21.92,1.3152,50.02,3.0012
M83_Eastern_arm,1.15E-16,1.50E-17,7.14E-16,2.20E-17,NaN,NaN,2.84E-16,7.50E-18,NaN,NaN,2.64E-15,7.70E-17,4.85,0.291,15.38,0.9228
NGC253,5.43E-15,1.40E-16,3.38E-14,4.40E-16,7.55E-15,1.40E-16,8.28E-15,7.10E-17,3.96E-15,1.40E-16,4.56E-14,1.90E-16,1001,60.06,1212,72.72
NGC1808,1.15E-15,6.00E-17,9.61E-15,2.20E-16,2.39E-15,8.20E-17,2.88E-15,1.50E-17,6.38E-16,2.20E-17,1.67E-14,1.20E-16,127.05,7.623,144.2,8.652
NGC3256,1.57E-15,1.30E-16,9.43E-15,9.50E-17,4.37E-15,5.90E-17,1.21E-15,1.40E-17,8.44E-16,2.00E-17,1.79E-14,7.80E-17,99.84,5.9904,148.83,8.9298
NGC4038,2.87E-16,5.60E-17,1.61E-15,6.00E-17,8.01E-16,3.10E-17,3.86E-16,5.50E-18,1.07E-16,4.10E-18,4.15E-15,2.80E-17,10.01,0.6006,29.89,1.7934
NGC4039,8.04E-16,3.40E-17,3.36E-15,7.70E-17,NaN,NaN,2.88E-16,7.70E-18,NaN,NaN,6.20E-15,6.40E-17,18.29,1.0974,40.59,2.4354
Overlap,6.88E-16,4.80E-17,2.38E-15,6.90E-17,NaN,NaN,3.35E-16,1.60E-17,NaN,NaN,6.97E-15,4.00E-17,13.12,0.7872,23.98,1.4388
NGC4945,2.82E-15,1.30E-16,2.67E-14,5.00E-15,3.78E-15,1.10E-16,5.91E-15,2.00E-16,3.94E-15,3.60E-17,3.17E-14,3.20E-16,573.8,34.428,1079.1,64.746
NGC7552,9.45E-16,1.70E-16,4.79E-15,4.30E-17,1.08E-15,4.00E-17,1.25E-15,1.30E-17,3.35E-16,1.20E-17,7.99E-15,4.50E-17,85.57,5.1342,92.15,5.529
NGC1365,1.88E-15,1.50E-16,5.69E-15,1.60E-16,2.60E-15,5.80E-17,3.29E-15,2.20E-17,4.20E-16,1.30E-17,1.35E-14,1.20E-16,111.48,6.6888,183.54,11.0124
NGC3783,5.18E-17,1.70E-17,6.33E-16,4.00E-17,1.53E-16,1.30E-17,8.95E-17,8.70E-18,3.03E-17,4.50E-18,6.88E-16,9.90E-18,2.34,0.1404,5.88,0.3528
NGC4051,<2.55E-17,NaN,3.43E-16,2.50E-17,7.50E-17,1.50E-17,4.96E-17,5.30E-18,2.22E-17,3.60E-18,6.11E-16,9.20E-18,2.48,0.1488,7.64,0.4584
NGC4151,2.19E-16,3.40E-17,2.92E-15,6.50E-17,4.64E-16,3.20E-17,8.63E-17,9.60E-18,1.79E-16,5.80E-18,7.26E-16,1.30E-17,6.84,0.4104,5.8,0.348
NGC4593,1.84E-17,5.90E-18,1.97E-16,2.20E-17,5.51E-17,8.10E-18,3.77E-17,8.60E-18,2.32E-17,4.00E-18,2.19E-16,1.10E-17,3.44,0.2064,4.66,0.2796
